2018-12-10 19:21:05,141 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:21:05 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:21:05,142 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-12-10 19:21:05,261 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:21:05,456 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.IndexController.showIndex(org.springframework.ui.Model)
2018-12-10 19:21:05,458 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/search],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.SearchController.search(java.lang.String,java.lang.Integer,java.lang.Integer,org.springframework.ui.Model)
2018-12-10 19:21:05,826 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:21:05 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:21:05,887 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:21:05 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:21:05,989 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(503) | FrameworkServlet 'tao-portal': initialization completed in 852 ms
2018-12-10 19:25:11,397 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
2018-12-10 19:25:11,477 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Mon Dec 10 19:25:11 CST 2018]; root of context hierarchy
2018-12-10 19:25:11,537 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\works1\tao-portal\target\classes\spring\applicationContext-service.xml]
2018-12-10 19:25:11,827 INFO [localhost-startStop-1] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [properties/resource.properties]
2018-12-10 19:25:11,831 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:25:11,862 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 463 ms
2018-12-10 19:25:11,892 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(484) | FrameworkServlet 'tao-portal': initialization started
2018-12-10 19:25:11,896 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:25:11 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:25:11,897 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-12-10 19:25:12,008 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:25:12,149 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.IndexController.showIndex(org.springframework.ui.Model)
2018-12-10 19:25:12,150 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/search],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.SearchController.search(java.lang.String,java.lang.Integer,java.lang.Integer,org.springframework.ui.Model)
2018-12-10 19:25:12,421 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:25:11 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:25:12,460 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:25:11 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:25:12,527 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(503) | FrameworkServlet 'tao-portal': initialization completed in 635 ms
